Price,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,BB_Width
Ticker,BTC-USD,BTC-USD,,,,,,,
Date,,,,,,,,,
2024-09-28,65887.6484375,15243637984,62331.71534584262,61152.088994468075,59775.86493212366,73.59954365735437,1698.0158322889401,1171.5750697874853,0.19015551036822861
2024-09-29,65635.3046875,14788214575,62646.34290219094,61327.901374586974,59834.16781697948,77.12652889630438,1742.1227597132238,1285.6846077726332,0.184472137963813
2024-09-30,63329.5,37112957475,62711.405482934664,61406.39543832866,59868.947242700655,69.44540228695331,1572.8873829406439,1343.1251628062355,0.17235092527278334
2024-10-01,60837.0078125,50220923500,62532.891419083746,61384.06651182558,59878.57968645943,51.945013767260825,1223.5396353787655,1319.2080573207415,0.15692296450717583
2024-10-02,60632.78515625,40762722398,62351.928917861485,61354.60449788144,59886.084218711716,45.91552875721931,919.5993974983357,1239.2863253562605,0.14548825241763555
2024-10-03,60759.40234375,36106447279,62200.259720327056,61331.26323693511,59894.77395154514,40.33575191952201,681.0903326632542,1127.6471268176592,0.14493770323139607
2024-10-04,62067.4765625,29585472513,62187.61370529591,61360.13434774158,59916.39288360331,45.439514625373775,590.8103439586994,1020.2797702458672,0.13977976125966726
2024-10-05,62089.94921875,13305410749,62178.312325624865,61388.75453876152,59938.020310423766,44.63463022295262,515.1379681906401,919.251409834822,0.1297461792392249
2024-10-06,62818.953125,14776233667,62239.325735089165,61444.84075782969,59966.68630936623,46.716544985086585,508.1341339057908,837.0279546490157,0.10934324910667795
2024-10-07,62236.66015625,34253562610,62239.07187043782,61475.89249894422,59989.27311442714,45.7626333318999,450.40537581760145,759.7034388827329,0.10215193597900861
2024-10-08,62131.96875,28134475157,62228.871573253266,61501.620979377774,60010.59346958404,40.98188845281725,391.6920158389112,686.1011542739686,0.10084448440338914
2024-10-09,60582.1015625,27670982363,62072.0363341339,61465.561394402175,60016.28011742635,39.69182401605468,217.59166453551006,592.3992563262769,0.10748881549173514
2024-10-10,60274.5,30452813570,61900.84239754972,61418.853104425616,60018.84946955958,27.05542673283206,54.17056192416203,484.75351744585396,0.11467984996168266
2024-10-11,62445.08984375,30327141594,61952.67548766404,61459.09768243834,60042.991165456,36.348003671277226,98.66922334634,407.5366586259512,0.11469584621608049
2024-10-12,63193.0234375,16744110886,62070.80386383889,61527.09477087213,60074.33477096384,39.55896090906835,192.07262967886345,364.44385283653367,0.11424838589168772
2024-10-13,62851.375,18177529690,62145.14397204471,61579.02732887714,60101.96701275654,39.28706714511792,235.80906834759662,338.7168959387463,0.11405114735086927
2024-10-14,66046.125,43706958056,62516.66597470712,61754.207629705495,60161.11286487574,59.78452149748246,522.2400779217132,375.42153233533975,0.12122315652878222
2024-10-15,67041.109375,48863870879,62947.56534616359,61961.53710991313,60229.57054331211,75.04734275015645,820.072356614568,464.35169719118545,0.13440445741412194
2024-10-16,67612.71875,38195189534,63391.865670338484,62183.15207619104,60303.03470639875,77.36770216510898,1089.6696492472693,589.4152876024023,0.1460153720410688
